"treat";"species";"mean";"twopt5per";"twenty5per";"fiftyer";"seventy5per";"ninety7pt5per"
"1";NA;NA;NA;NA;NA;NA;NA;NA
"2.5%";"(Intercept)";"acer";37.3909246177517;33.8373805170959;36.2003658772084;37.3445975897664;38.545521784894;41.0765219043285
"2.5%1";"as.factor(treatment.adj)2_14/26";"acer";-5.21643303367959;-7.74197874681502;-6.05900397187251;-5.19605807357746;-4.38141080641027;-2.70441518790273
"2.5%2";"as.factor(treatment.adj)3_14/26d";"acer";-5.19964196563915;-7.73514087629857;-6.03790256969966;-5.22477509698305;-4.34915807922131;-2.54535007888325
"2.5%3";"as.factor(treatment.adj)4_26/14";"acer";-2.79701156186397;-6.07332604872752;-3.89874925608552;-2.80679368188554;-1.70545693207285;0.541146423203534
"2.5%4";"as.factor(treatment.adj)5_14/22";"acer";-1.54168142121124;-5.81254045565604;-2.88958287128927;-1.5250996307544;-0.208346258933224;2.58084350442104
"2.5%5";"as.factor(treatment.adj)6_10/26";"acer";-4.12655272851501;-8.01214421978406;-5.28356279173905;-4.1487610045851;-2.94461607573857;-0.301954895500231
"2.5%6";"(Intercept)";"betula";26.7328996953833;23.9740267464622;25.8035532510715;26.6950920585904;27.6394063713578;29.7169689091567
"2.5%7";"as.factor(treatment.adj)2_14/26";"betula";-1.36639089026155;-2.75086412694268;-1.83255896087416;-1.36277943084853;-0.909493533953379;0.0635527124466338
"2.5%8";"as.factor(treatment.adj)3_14/26d";"betula";-2.76103348142895;-4.25387781335974;-3.24720003494576;-2.76330855686765;-2.26979265657368;-1.2813652746461
"2.5%9";"as.factor(treatment.adj)4_26/14";"betula";-2.58710979137682;-4.05555471406447;-3.07175595060578;-2.59224146885172;-2.08162453146029;-1.14902757484075
"2.5%10";"as.factor(treatment.adj)5_14/22";"betula";1.40777178647013;-0.0974940718166398;0.910295622101276;1.39901371231051;1.90455359138434;2.90646495111046
"2.5%11";"as.factor(treatment.adj)6_10/26";"betula";-0.726667749400395;-2.59204111465786;-1.36909579545839;-0.733635489049885;-0.104137448149725;1.19736915562518
"2.5%12";"(Intercept)";"fagus";50.2776168317691;47.194444585163;49.2691602609535;50.3163845201816;51.2601840046731;53.4100149271606
"2.5%13";"as.factor(treatment.adj)2_14/26";"fagus";-9.57549803712712;-12.5439876057518;-10.5915111969276;-9.58606527509611;-8.54825487582946;-6.57425897169632
"2.5%14";"as.factor(treatment.adj)3_14/26d";"fagus";-1.61323991564611;-4.76300058619584;-2.72270243910588;-1.59703188976037;-0.5038491817366;1.6010502637341
"2.5%15";"as.factor(treatment.adj)4_26/14";"fagus";-1.09907691389017;-4.72849780046419;-2.33102635313055;-1.11606435098519;0.0901368242319454;2.5156872128371
"2.5%16";"as.factor(treatment.adj)5_14/22";"fagus";1.25318737085641;-1.58738568428337;0.274033830075325;1.248205246036;2.20179823904028;4.22122962782242
"2.5%17";"as.factor(treatment.adj)6_10/26";"fagus";-15.2253621274131;-18.1612901818178;-16.1842505377145;-15.2171056810394;-14.2438507078941;-12.3220338533578
"2.5%18";"(Intercept)";"quercus";32.5191958777816;30.6711614598947;31.9338022238104;32.5224883310884;33.0962136283615;34.3825658731419
"2.5%19";"as.factor(treatment.adj)2_14/26";"quercus";-1.44002819573258;-3.11867014802835;-2.01617488378992;-1.43137387166389;-0.849140017279439;0.231232411524145
"2.5%20";"as.factor(treatment.adj)3_14/26d";"quercus";-3.08608075740916;-4.79168041844538;-3.67790828649459;-3.09463167960532;-2.51466135304722;-1.33550516396043
"2.5%21";"as.factor(treatment.adj)4_26/14";"quercus";0.571295139276581;-1.86677124002599;-0.246847181134476;0.587178839336935;1.41198854944142;3.0712207969827
"2.5%22";"as.factor(treatment.adj)5_14/22";"quercus";4.25241397511569;2.152583571263;3.54813039405646;4.26664019929341;4.94275355235363;6.31531065920243
"2.5%23";"as.factor(treatment.adj)6_10/26";"quercus";1.14075210573423;-0.741606833794459;0.49428107459491;1.14605594044991;1.77338344750724;3.04927095363446
"2.5%24";"(Intercept)";"overall";36.7301592556714;35.2920559269628;36.2642802123534;36.740141883142;37.220010885169;38.1092665992993
"2.5%25";"as.factor(treatment.adj)2_14/26";"overall";-4.39958753920021;-5.47866786221153;-4.77893061861837;-4.41184784689542;-4.01468345702232;-3.28515619130829
"2.5%26";"as.factor(treatment.adj)3_14/26d";"overall";-3.16499903003084;-4.35317505503353;-3.57223848825759;-3.15686652656523;-2.76376877439846;-1.97468307602914
"2.5%27";"as.factor(treatment.adj)4_26/14";"overall";-1.4779757819636;-2.86562993328431;-1.96886792363595;-1.47318472068612;-0.994064801962164;-0.0490746587778075
"2.5%28";"as.factor(treatment.adj)5_14/22";"overall";1.34292292780775;-0.0222586646447578;0.863829747848365;1.32419598152026;1.81182796068548;2.73430526225057
"2.5%29";"as.factor(treatment.adj)6_10/26";"overall";-4.73445762489856;-6.08284647483636;-5.18102900422802;-4.74289028710998;-4.27002526138503;-3.38519026414375
